Context,Response
Sejak ibu saya meninggal keluarga saya telah memperlakukan saya seperti orang asing.  Sekarang saya khawatir ayah saya perlu pergi ke panti jompo.  Jika itu terjadi saya pikir saya akan sendirian untuk menanganinya.  Apa yang harus saya lakukan?  Saya akan membutuhkan bantuan dan dukungan keluarga saya.,"Dapat dimengerti Anda ingin dukungan dari mereka yang mengenal dan mencintai Anda.   Dari apa yang Anda tulis,  anggota keluarga Anda tidak menawarkan harapan yang sangat masuk akal.  Sukses dalam pertemuan mereka harapan Anda dengan mencintai Anda.   Cara ini Anda dapat memberi tahu diri Anda bahwa Anda telah mencoba apa yang masuk akal untuk dicoba.   Jangan menyerah pada mengharapkan dukungan penuh kasih untuk diri sendiri!  Jika anggota keluarga Anda tidak mau memberi Anda ini,  lalu mulailah memberi diri Anda perhatian dan perhatian yang penuh kasih.  Jadi orang lain akan menemukan kesediaan Anda untuk dicintai."
"Kita sepertinya tidak bisa rukun.  Saya tidak dapat berbicara dengannya tanpa berubah menjadi Perang Dunia 3.   Dia memperlakukan saya seolah saya tidak punya hak untuk pendapat dan tidak pernah benar-benar membiarkan saya berbicara.  Ibu saya yang sebenarnya peduli dan mencoba membantu saya,  tetapi dia tidak bisa berbuat banyak,  karena ibu angkat saya juga tidak mau mendengarkannya.","Pergi untuk melihat seorang penasihat pengalaman akan menjadi saran saya.  Anda akan memiliki orang netral yang dapat mendengarkan kedua sisi dan membantu Anda semua menemukan kesamaan pemahaman.  Jika dia tidak setuju dengan konseling,  benar-benar satu-satunya orang yang dapat Anda ubah adalah Anda.  Saya akan menyarankan agar Anda mendekatinya dengan cinta dan memberi tahu dia apa yang Anda hargai tentang dia,  biarkan dia tahu hal-hal besar yang telah dia lakukan yang tidak dapat diganti atau dilupakan,  tetapi Anda ingin hubungan Anda menjadi lebih baik daripada akhir-akhir ini.  Semoga ini akan membuka pintu komunikasi di mana Anda dapat menjelaskan pikiran dan perasaan Anda tetapi dengan cara yang penuh kasih."
"Kami menyewa dari orang tua pacar saya.  Ayahnya mampir tanpa pemberitahuan dan tinggal untuk waktu yang lama.  Dia membiarkan dirinya masuk ke rumah kita ketika kita tidak ada di sana setiap hari dan membawa anjing kita ke rumahnya.  Dia mengambil surat kami.  Dia tidak memiliki batasan.  Dia orang yang memaksa dan kasar.  Dia berharap untuk menghabiskan setiap akhir pekan di sekitar kita,  memberikan nasihat yang tidak diminta tentang pemeliharaan anak dan tidak menghormati privasi kita sama sekali.  Dia menerobos tanpa peringatan.  Dia memiliki kunci dan membiarkan dirinya masuk ke rumah kami tanpa meminta izin.  Saya butuh bantuan.  Bagaimana cara mengatasi ini?","Anda mengharapkan perilaku yang masuk akal dari ayah pacar Anda.   Karena ayahnya adalah miliknya,  pacar Anda adalah orang yang berada di posisi untuk berbicara langsung dengan ayahnya tentang harapan yang Anda dan dia miliki tentang ayahnya.   Jika pacar Anda memiliki hubungan yang baik dengan miliknyaAyah,  yang bukan seperti ini,  maka hebat!  Jika pacar Anda memiliki hubungan yang stres dan tegang dengan ayahnya,  maka entah bagaimana ia perlu berkembang atau dilatih dan didorong oleh orang-orang dalam hidupnya yang benar-benar peduli dan mengenalnya,  cara untuk menyatakan standar yang sangat masuk akal yang Anda gambarkan di sini.   Jika semuanya gagal,  maka ruang hidup baru selalu merupakan kemungkinan lain!"
Saya telah berkencan dengan sepupu mantan pacar saya selama beberapa tahun.  Kami menjadi sangat serius.  Dia ingin memotongnya karena orang-orang memberinya kesulitan bahwa anak-anak kita akan berhubungan dengan mantan saya.,"Apakah pacar Anda setuju dengan pendapat orang lain atau apakah masalah yang dia rasakan bahwa melakukan apa yang mereka inginkan akan menjadi cara mudah untuk berhenti mendengar mereka mengatakan apa yang tidak suka dia dengar?   Bicaralah apakah dia benar-benar percaya apa yang dikatakan orang laindia atau tokoh-tokoh yang patuh akan membuat mereka berhenti mengganggunya.   Setelah Anda berdua memahami apa,  jika ada,  perbedaan yang ada pada pendapat yang Anda masing-masing miliki tentang status hubungan ganda,  Anda akan lebih jelas apakah perbedaan dapat diselaraskanbagaimanapun."
Ayah saya tidak menyukai kenyataan bahwa saya laki-laki.  Dia meneriaki saya setiap hari karena itu dan dia mengatakan kepada saya bahwa saya ekstrem dan terlalu dramatis.  Saya menjadi sangat tertekan karena teriakan ayah saya.  Dia terus bertanya mengapa saya tidak bisa hanya bahagia seperti saya dan berteriak pada saya setiap hari.  Apakah ini dianggap pelecehan emosional?,"Mungkin ini adalah pelecehan emosional.   Tentu menjengkelkan dan menjengkelkan untuk diteriaki karena menjadi diri sendiri.   Mungkin pada saat dia tidak berteriak,  Anda dapat mengemukakan topik kesediaan Anda sendiri,  jika ini benar,  untuk membahas pertanyaan yang dia miliki tentangJenis kelamin Anda.   Tidak ada jaminan dia tidak akan mulai berteriak di tengah-tengah dialog seperti ini.  Hanya dengan begitu Anda akan berada di tanah yang kuat untuk memaafkan diri Anda dari percakapan karena Anda sudah menjelaskan bahwa Anda bersedia berbicara dengannya dan tidak diteriaki olehnya."
"Itu lebih dari 20 tahun yang lalu,  tetapi rasa sakitnya telah muncul kembali sekarang karena saya sudah mulai melihat posting Facebook-nya tentang betapa hebatnya hidupnya.  Saya merasa sangat marah.  Bagaimana cara menangani ini?","Nyeri emosional berbeda dari rasa sakit fisik seperti itu,  bukan?  Bahkan bertahun-tahun kemudian,  luka tua dapat robek terbuka lagi oleh pemicu kecil.   Anda dikhianati oleh dua orang yang dekat dengan Anda.  Itu cedera yang kompleks.  Saya tidak tahu apakah Anda masih dalam pernikahan atau tidak,  atau apakah saudara perempuan Anda masih dalam hidup Anda.  Mungkin tidak,  karena kontak Anda dengannya tampaknya melalui menonton aktivitas Facebook-nya.  Saya ingin tahu mengapa Anda baru saja melihat posting Facebook-nya lagi.  Apakah Anda merasa lebih terbuka akhir-akhir ini untuk melihat bagaimana keadaannya dalam hidupnya?  Saya kira jika Anda terbuka untuk memiliki saudara perempuan Anda bahkan di pinggiran hidup Anda lagi,  Anda harus mencari cara untuk menangani pemicu itu.  Jika Anda tidak bisa,  mungkin pertimbangkan untuk tidak mengikuti dia atau melepaskan diri dari Facebook untuk sementara waktu.  Jadi adikmu bahagia,  atau setidaknya dia tampak bahagia.  Pikiran Anda mungkin pergi ke beberapa tempat yang tidak membantu,  seperti ""dia tidak menyesali perselingkuhan"" (Anda tidak tahu itu),  ""dia tidak pantas mendapatkan kebahagiaan"" (itu akan menjadi penilaian yang keras),  atau ""dia tidakT peduli bahwa saya terluka ""(sekali lagi,  tidak ada bukti tentang itu).  Kemana pikiranmu pergi?  Penting untuk mengidentifikasi pikiran terburuk Anda sehubungan dengannya.  Ketika Anda memiliki pikiran terburuk yang diidentifikasi,  tanyakan pada diri sendiri,  ""Bukti apa yang mendukung pemikiran itu sebagai kebenaran?  ""Kemungkinan tidak ada bukti,  atau bahwa kebenaran itu jauh dari Anda sehingga Anda tidak dapat tahu apa yang dia rasakan atau pikirkan,  yang membuat pikiran itu cukup sia-sia.   Terapis dapat membantu Anda menentukan emosi apa yang dipicu di sini.  Itu tidak membantu Anda dan kebahagiaan Anda untuk membawa kebencian,  keinginan sakit,  atau kebutuhan untuk membalas dendam.  Pengampunan bukan tentang mengatakan bahwa ada sesuatu yang ""oke"".  Ini tentang mengatakan ""itu terjadi.   Saya menerima bahwa saya tidak dapat mengubahnya,  dan saya tidak ingin membawa beban emosional sepanjang waktu"".  Pengampunan meletakkannya.  Dia .  .  .   (percayalah ini benar) .  .  .   dia membawa beban rasa malu sendiri atas apa yang dia lakukan.  Bagi Anda untuk menghabiskan waktu merasa marah tidak memengaruhi bebannya.  Itu hanya menambah milik Anda.  Bisakah Anda menemukan emosi yang lembut di bawah kemarahan Anda?  Anda terluka.  Validasi sakit itu.  Menghormati sakit itu.  Jaga sakit itu.  Anda dapat menjauh dari orang-orang yang mengabaikan kebutuhan Anda,  dan Anda memiliki kekuatan untuk memaafkan mereka yang membuat kesalahan dari kemanusiaan mereka yang sederhana jika Anda menginginkannya dalam hidup Anda.  Jika Anda terus berjuang,  silakan cari bantuan seorang profesional yang dapat membantu Anda dalam menavigasi perairan ini."
"Itu lebih dari 20 tahun yang lalu,  tetapi rasa sakitnya telah muncul kembali sekarang karena saya sudah mulai melihat posting Facebook-nya tentang betapa hebatnya hidupnya.  Saya merasa sangat marah.  Bagaimana cara menangani ini?","Hal pertama yang harus Anda sadari adalah bahwa kebanyakan orang hanya memposting ""bagian terbaik"" kehidupan mereka di Facebook,  beberapa orang bahkan melangkah lebih jauh untuk membuat hidup mereka tampak lebih baik atau lebih menarik dan memposting sebagian besar pandangan palsu dalam hidup mereka.  Facebook dipermudah,  versi manisan hidup kita,  Anda hanya menggunakan apa yang Anda ingin orang lihat.  Pertanyaan yang harus Anda tanyakan adalah ""Bagaimana saya tumbuh dari ini?  "",  Apakah pernikahan saya saat ini di tempat yang baik?  Saya benar-benar berharap ada beberapa bentuk sihir yang dapat dilakukan untuk menyelesaikan masalah orang dan membantu mereka memilah emosi dan masalah mereka,  namun tidak ada,  yang paling dekat yang bisa kita dapatkan adalah dengan menggunakan {waktu dan wawasan} untuk menyembuhkan luka kita."
"Itu lebih dari 20 tahun yang lalu,  tetapi rasa sakitnya telah muncul kembali sekarang karena saya sudah mulai melihat posting Facebook-nya tentang betapa hebatnya hidupnya.  Saya merasa sangat marah.  Bagaimana cara menangani ini?",Apa yang terjadi dalam hidup Anda yang memunculkan lebih banyak kepekaan terhadap perselingkuhan?   Cara terbaik untuk menangani rasa sakit Anda adalah dengan memperhatikan perasaan Anda sendiri dan keadaan saat ini yang meningkatkan rasa sakit Anda.  yang terbaik bisa.
"Itu lebih dari 20 tahun yang lalu,  tetapi rasa sakitnya telah muncul kembali sekarang karena saya sudah mulai melihat posting Facebook-nya tentang betapa hebatnya hidupnya.  Saya merasa sangat marah.  Bagaimana cara menangani ini?","Sesi pembicaraan yang dimediasi antara.  Anda dan saudara perempuan Anda.   Lalu,  Anda dan suami Anda memiliki pembicaraan yang aman yang dimediasi.  Jadi keduanya mendengar apa yang Anda rasakan dalam hubungan masing-masing.  Mungkin langkah terakhir adalah pembicaraan aman yang dimediasi dengan saudara perempuan,  suami dan pemovers,  di masa depan."
"Itu lebih dari 20 tahun yang lalu,  tetapi rasa sakitnya telah muncul kembali sekarang karena saya sudah mulai melihat posting Facebook-nya tentang betapa hebatnya hidupnya.  Saya merasa sangat marah.  Bagaimana cara menangani ini?","Urusan dan perselingkuhan adalah area yang sulit untuk diatasi.  Kekuatan perselingkuhan berasal dari perasaan ketidakadilan yang tampaknya telah terjadi pada Anda.  Perjuangan yang saya perhatikan adalah dengan pengampunan.  Pengampunan adalah sesuatu yang diminta dari Anda dari pasangan Anda tetapi juga Anda memiliki kekuatan untuk memberi.  Saya berasumsi Anda ingin memaafkan atau memaafkan.  Namun,  bagian yang melupakan itu sulit.  Tampaknya citra kebahagiaannya mungkin telah memicu sesuatu dalam diri Anda yang tidak bahagia.  Saya tidak yakin seberapa sering Anda dipicu olehnya tetapi sepertinya ada sesuatu di sana yang perlu Anda proses.  Bagian yang melupakan dengan sedih sulit untuk melewati pikiran Anda.  Namun,  itu bisa melihat situasi yang tidak menguntungkan yang mereka lakukan dan dapat memalsukannya meskipun itu menyakitkan.  Saya pikir mungkin berbicara dengan terapis lokal tentang ini karena seringkali sulit diproses sendirian.  Juga,  lihat bagaimana perasaan Anda seiring berjalannya waktu.  Apakah Anda terobsesi?  Jika demikian,  Anda mungkin perlu mencari penasihat profesional."
"Bagaimana cara saya mempercayai wanita lain?  Saya telah menemukan diri saya terus-menerus membaca di antara garis-garis dengan setiap wanita lain yang saya temui.  Saya mengalami kesulitan membuat hubungan apa pun dengan siapa pun karena penipuan dan kemauannya untuk mengatakan dan melakukan apa saja untuk mengendalikan emosi saya.  Setelah ""hubungan"" selesai,  ia menjadi sangat kasar dan telah berusaha untuk mengintimidasi saya untuk diam tentang banyak klaim palsu yang dibuat pada aplikasi imigrasi.","Saya menyesal mendengar tentang dimanfaatkan oleh mantan istri Anda.   Di sisi positifnya,  pikirkan seberapa banyak Anda belajar dengan melewati waktu yang sangat menyakitkan ini.   Mungkin Anda secara alami sangat murah hati dan peduli,  sampai pada titik berharap sangat sangatSedikit dari orang lain,  misalnya.   Pertimbangkan diri Anda dalam posisi yang menguntungkan untuk tidak merasa ingin keluar sekarang dan bertemu orang baru.  Semangat Anda membimbing Anda untuk tetap tinggal dan memulihkan diri dari cobaan ini,  tinjau untuk tanda-tanda apa pun yang mungkin lebih Anda percayai daripada pantas oleh perilaku orang tersebut.   Ada aliran alami untuk apa yang dapat kami tangani dan ketika kami memiliki kapasitas baru untuk baruPetualangan baru.   Tidak ada alasan untuk berasumsi bahwa Anda tidak akan pernah mempercayai wanita lain lagi.  Langkah pertama adalah membangun kembali kepercayaan pada diri sendiri untuk melangkah ke hubungan baru.  Tidak ada garis waktu yang ditentukan.  Anda hanya akan merasa lebih siap dari yang Anda rasakan sekarang.   Tidak mungkin Anda akan menempatkan diri Anda dalam situasi yang sama dengan yang saat ini Anda pemulihkan.   Beruntung!"
"Bagaimana cara saya mempercayai wanita lain?  Saya telah menemukan diri saya terus-menerus membaca di antara garis-garis dengan setiap wanita lain yang saya temui.  Saya mengalami kesulitan membuat hubungan apa pun dengan siapa pun karena penipuan dan kemauannya untuk mengatakan dan melakukan apa saja untuk mengendalikan emosi saya.  Setelah ""hubungan"" selesai,  ia menjadi sangat kasar dan telah berusaha untuk mengintimidasi saya untuk diam tentang banyak klaim palsu yang dibuat pada aplikasi imigrasi.","Saya menyesal mendengar tentang situasi itu.  Jika wanita itu adalah terapis Anda (atau pada suatu waktu),  ini bisa mewakili pelanggaran etis yang signifikan ketika dia menciptakan hubungan ganda dengan Anda.   Bahkan jika Anda bukan kliennya,  ini mungkin masih merupakan pelanggaran etis.  Konselor ditahan dengan standar perilaku dan kejujuran yang tinggi setiap saat.   Dalam situasi seperti ini,  Anda mungkin mempertimbangkan untuk mengajukan keluhan kepada Dewan Pengatur Negara."
"Saya tahu saya selalu berbeda.  Tahun ini,  pada bulan Desember,  saya mengetahui bahwa saya tidak pernah merasa perempuan.  Saya melakukan penelitian dan telah mengidentifikasi diri saya sebagai laki-laki tetapi tidak tahu bagaimana cara memberi tahu ayah saya.","Saya mengagumi keberanian Anda.   Jika Anda khawatir tentang memberi tahu ayah Anda tentang identitas gender Anda,  saya akan menyarankan beberapa hal.  Ada banyak kelompok atau dukungan lain untuk orang-orang yang bekerja melalui beberapa perubahan yang sama yang mungkin Anda alami sekarang.  Saya tidak bermaksud menyampaikan bahwa semua orang berpikir,  merasakan,  atau bertindak sama dengan cara apa pun,  melainkan mungkin membantu untuk berbicara dengan orang lain yang memiliki beberapa pengalaman serupa.   Saya mencoba memasukkan beberapa tautan untuk Anda,  tetapiTombol khusus itu bukan jendela yang berfungsi.  Jika Anda mencari ""dukungan transgender"" di Google,  Anda akan menemukan Glaad dan Pflag,  yang keduanya adalah organisasi nasional.  Ini tidak berarti bahwa Anda harus mengidentifikasi sebagai ""transgender, "" tetapi meneliti istilah itu dapat membantu Anda menemukan sumber daya nasional dan lokal.   Sejauh memberi tahu ayah Anda,  jika itu sangat memprihatinkan bagi Anda,  saya sarankan untuk berbicara melalui melaluiDetail dengan terapis lokal atau mempertimbangkan jika Anda memiliki teman atau anggota keluarga yang tepercaya (orang yang akan menghormati privasi Anda sehubungan dengan siapa yang ingin Anda ketahui tentang apa yang Anda alami saat ini) sehingga Anda dapat berbicara dengan beberapa orang untukmendapat dukungan.  Ini dapat membantu dengan dua hal:  memungkinkan Anda untuk menemukan dukungan untuk diri sendiri saat Anda mengerjakan perubahan yang sedang Anda alami sekarang dan juga mungkin berbicara dengan seseorang yang mengenal ayah Anda dan mungkin dapat berbicara dengan Anda tentang bagaimana atau kapan harusKatakan padanya.   Salah satu hal yang saya katakan kepada siapa pun yang ingin membahas sesuatu yang sangat penting bagi mereka adalah meminta orang yang ingin mereka ajak bicara apakah ini saat yang tepat untuk percakapan yang penting.  Dengan begitu,  Anda memiliki peluang yang lebih besar untuk memiliki perhatian orang tersebut dan/atau tidak perlu mengakhiri percakapan dengan cepat.  Juga,  harap diingat bahwa Anda paling mengenal diri sendiri,  seperti kita masing-masing."
"Saya tahu saya selalu berbeda.  Tahun ini,  pada bulan Desember,  saya mengetahui bahwa saya tidak pernah merasa perempuan.  Saya melakukan penelitian dan telah mengidentifikasi diri saya sebagai laki-laki tetapi tidak tahu bagaimana cara memberi tahu ayah saya.","Halo dan terima kasih untuk pertanyaan Anda.  Ini tentu saja tempat yang sulit.  Saya memiliki beberapa pemikiran dan mungkin beberapa kolega akan menambahkan beberapa hal.  Anda mungkin ingin menghabiskan beberapa menit untuk memikirkan percakapan apa pun yang Anda lakukan dengan ayah Anda tentang masalah transgender,  atau jika Anda pernah mendengarnya membicarakannya.  Itu mungkin memberi Anda petunjuk kecil tentang seberapa baik dia dapat menerima berita ini dari Anda.  Misalnya,  jika dia telah menonton berita akhir-akhir ini,  hak transgender adalah sesuatu yang banyak dibicarakan.  Apakah dia punya pendapat?  Ini tidak akan memberi tahu Anda dengan pasti apakah dia akan baik-baik saja dengan belajar Anda transgender,  tetapi setidaknya Anda akan tahu jika ada permusuhan terhadap orang transgender.  Sejujurnya,  cara terbaik untuk memberi tahu ayah Anda adalah cara apa pun yang terasa benar bagi Anda.  Tidak ada cara yang benar atau salah,  terbaik atau terburuk.  Jika Anda ingin memberitahunya ketika Anda sendirian dengannya?  Itu sempurna.  Ingin memiliki teman dengan Anda untuk dukungan?  Sama sempurna.  Apa pun yang perlu Anda lakukan.  Dan,  tentu saja,  selalu ada pilihan untuk tidak memberitahunya apa pun sampai Anda merasa nyaman melakukannya.  Sayangnya,  tanggapan dari ayahmu tidak dapat diprediksi.  Beberapa orang tua benar-benar keren .  .  .  .   yang lain tidak terlalu banyak.  Ini adalah salah satu alasan mengapa memiliki seseorang dengan dukungan Anda terkadang merupakan ide yang bagus.  Jika keadaan menjadi panas,  Anda memiliki seseorang di sudut Anda.  Ada terapis yang berspesialisasi dalam terapi afirmatif,  dan mereka mungkin sangat membantu Anda dalam mencari tahu bagaimana Anda ingin memberitahunya.  Anda juga dapat Google beberapa cerita tentang bagaimana orang lain keluar.   Saya merujuk banyak orang ke blog www.  letsqueerthingsup.  com.  Ini adalah blog populer yang ditulis oleh seorang pria trans yang saya tahu.  Dia menulis tentang banyak topik yang terkait dengan masalah trans.  Semoga beberapa saran ini membantu.  Be Well .  .  .   Be You .  .   Dan Good Luck!  Robin J.   Landwehr,  DBH,  LPC,  NCC"
"Saya mempunyai tiga saudara kandung.  Ibuku mencintai mereka dan bukan aku.  Dia selalu berteriak padaku,  tetapi ketika datang ke saudara kandung saya,  dia berbicara dengan mereka.  Saya selalu menangis di kamar saya.","Pernahkah Anda mencoba berbicara dengannya tentang ini ketika dia tidak marah?  Sementara saya mendengar Anda mengatakan bahwa rasanya dia tidak mencintaimu,  mungkin ada banyak bagian lain untuk ini.  Pernahkah Anda memberi tahu dia tentang betapa dia berarti bagi Anda (ketika dia tidak marah)?"
"Tiri saya dan saya selalu bermain-main.  Saya perhatikan bahwa setiap kali dia bermain-main memukul saya,  selalu dia memukul.  Dia selalu mengomentari pakaian saya dan selalu memindai saya langsung ke kaki ketika saya berjalan ke sebuah ruangan.  Saya wanita remaja,  dan saya ingin tahu apakah ini normal.","Sulit untuk mengetahui dari cara Anda menggambarkannya.  Apakah Anda pikir dia akan terbuka untuk diskusi yang jujur?  Bisa jadi komentarnya tentang pakaian Anda dirancang untuk membuat Anda merasa baik atau membantu mereka menunjukkan betapa ia peduli pada Anda sebagai anak tirinya.  Sejauh memindai Anda dari ujung kepala hingga kaki,  saya dapat memikirkan alasan bahwa orang tua mungkin melakukan itu.  Saya juga berpikir bahwa membicarakannya mungkin sangat penting sehingga Anda benar-benar tahu apa niatnya.  Dengan begitu,  itu menghilangkan dugaan dan Anda memiliki kesempatan untuk mengetahui apa yang dia pikirkan dan rasakan dan dia juga bisa tahu apa reaksi Anda."
"Setiap kali keluarga dan teman-teman saya berselisih,  saya yang masuk.   Saya orang yang mereka panggil untuk memperjuangkan mereka.  Saya melakukan ini meskipun saya mengalami kesulitan mempercayai orang-orang yang saya perjuangkan.  Saya hanya berusia awal 20-an.","Anda bisa menjadi pelindung karena hal-hal yang terjadi di masa lalu Anda atau di masa lalu orang-orang yang Anda lindungi.  Banyak dari kita memiliki naluri alami yang kita tidak ingin orang lain kesakitan.  Bagi orang lain,  konflik sulit untuk ditonton dan/atau didengarkan.   Karena karena kesulitan mempercayai mereka,  yang juga bisa berhubungan dengan peristiwa masa lalu antara Anda dan orang lain ini atau itu bisa berhubungan dengan konflik yang Anda sebutkan.  Mungkin sulit untuk mempercayai seseorang secara mendalam ketika Anda tidak tahu kapan pertarungan atau argumen besar berikutnya akan dimulai.   Lain kali Anda masuk untuk seseorang,  pertimbangkan untuk bertanya pada diri sendiri apa yang membuat Anda melakukan itu?  Apa yang Anda rasakan saat ini?"
"Setiap kali keluarga dan teman-teman saya berselisih,  saya yang masuk.   Saya orang yang mereka panggil untuk memperjuangkan mereka.  Saya melakukan ini meskipun saya mengalami kesulitan mempercayai orang-orang yang saya perjuangkan.  Saya hanya berusia awal 20-an.","Melanggar pola terkait dengan anggota keluarga,  adalah pekerjaan yang sulit.   Dalam situasi yang Anda gambarkan,  Anda dan anggota keluarga yang meminta intervensi Anda,  akan dipengaruhi oleh perubahan apa pun yang Anda putuskan untuk membuat cara Anda semua menangani ketidaksepakatan keluargaSelalu,  yang terbaik adalah dua orang yang memiliki perselisihan,  untuk berbicara langsung satu sama lain.  Orang ketiga mengalihkan perhatian dari konten dan alasan untuk tidak setuju.   Mungkin mengetahui bahwa dengan menarik diri Anda menjauh dari memediasi argumen keluarga,  Anda akan dalam jangka panjang akan berbuat baik untuk keluarga Anda,  membantu Anda melakukan pekerjaan yang sebenarnya untuk memisahkan diri dari argumen mereka.  Jelas,  fakta bahwa Anda menulis tentang masalahnya,  menunjukkan bahwa Anda merasa ingin melakukan sesuatu yang terasa lebih baik daripada perasaan Anda saat ini.   Sangat sehat bagi Anda untuk mendengarkan intuisi usus Anda yang memberi tahu Anda untuk menarik diri dari peran mediator Andasedang dalam saat ini.   Anda mungkin merasa bersalah,  anggota keluarga Anda kemungkinan besar akan melakukan segala yang mungkin untuk dibujuk,  meyakinkan,  dan mendorong Anda kembali ke argumen mereka.   Ini tidak membuat mereka benar dalam apa yang mereka lakukan,  itu hanya membuat pekerjaan AndaLebih sulit mencoba membiarkan mereka bertengkar sendiri."
"Dia mengalami peradangan kronis polineuropati,  dan saya pengasuhnya.  Yang dia lakukan hanyalah mengeluh,  memukul saya,  memanggil saya nama,  dan mengatakan hal-hal terjadi yang tidak.  Ketika saya memberitahunya,  dia meledak.  Saya tidak selalu membencinya,  tetapi sekarang setiap hal kecil yang dia lakukan membuat saya jengkel,  dan saya tidak memiliki sarana untuk hidup sendiri.","Sepertinya Anda membenci beberapa hal yang dilakukan ibu Anda daripada membencinya.   Sesuatu yang mungkin dapat Anda lakukan adalah menghubungi agen area yang menua untuk county tempat Anda tinggal dan meminta informasi tentang memiliki orang lain membantu peduli untuk peduli untuk peduliuntuk ibumu.  Saya tidak tahu berapa umur ibumu,  tetapi jika dia lebih muda,  mereka mungkin akan memiliki sumber daya untuk cara lain yang bisa Anda dapatkan.  Jika Anda berdua terbuka untuk kemungkinan orang lain membantu,  ini dapat membantu dengan beberapa kesulitan di antara Anda jika Anda tidak menghabiskan banyak waktu bersama.  Apakah Anda pikir ibu Anda dapat benar-benar mengenali bagaimana apa yang dia lakukan dan katakan memengaruhi Anda?   Dari siapa Anda mendapat dukungan selama semua ini?"
"Ibu dan ayah saya bercerai empat tahun lalu.  Saya harus menyelesaikan tahun ajaran dengan ayah saya,  dan sekarang mereka memutuskan tempat mana yang terbaik untuk saya.  Saya tidak bisa memilih.  Bagaimana saya bisa memilih jika saya menyukai kedua tempat?","Saya tidak tahu berapa umur Anda,  tetapi tergantung pada itu,  Anda mungkin dapat berbicara dengan mereka tentang menghabiskan waktu di kedua tempat.  Bahkan orang tua yang kadang-kadang tinggal di negara bagian yang berbeda dapat melakukan itu.  Ini tidak sesering menghabiskan satu minggu di satu rumah dan minggu berikutnya dan yang lainnya,  tetapi saya tahu itu terjadi.   Jika Anda dapat berbicara dengan kedua orang tua Anda tentang bagaimana Anda ingin tinggal di kedua tempat,  mungkin Anda semua bisamengerjakan semacam kesepakatan."
"Ayah saya menggunakan obat-obatan yang sangat buruk,  dan saya tidak diizinkan melihatnya lagi karena apa yang bisa dia lakukan untuk saya atau saudara saya pada obat ini.  Itu sangat mempengaruhi saya dalam hidup saya.  Bahkan membuat saya marah dan stres.","Sems seperti Anda akan pergi tahap-tahap Greef Trugh,  karena ketidakmampuan untuk melihat ayah Anda menyebabkan Anda perasaan yang sama seolah-olah Anda telah kehilangan dia.  Mungkin Anda bisa mengiriminya surat yang mengungkapkan perasaan dan harapan Anda.  Tetapi pahami bahwa jika dia berada di bawah pengaruh drarugs,  dia tidak akan berempati dengan perasaan Anda atau bereaksi dengan cara bahwa dia akan melakukannya di masa lalu.  Ketika masalah berkembang menemukan terapis atau konselor untuk membantu Anda berusaha melepaskan kemarahan dan stres itu,  yang dapat memengaruhi Anda secara negatif.  Temukan pengampunan sehingga Anda dapat memiliki hubungan dengannya di masa depan.  Apa yang dapat saya lakukan dengan pengguna narkoba saya?  Ini sangat memengaruhi hidup saya.  Itu menyebabkan saya stres keberanian.  Mungkin Anda bisa menulis surat yang mengekspresikan perasaan dan harapan Anda.  Tetapi dia mengerti bahwa jika dia berada di bawah pengaruh narkoba,  dia mungkin tidak merasa empati atau menjawab Anda seperti yang biasa dilakukannya.  Sementara masalah diselesaikan mencari penasihat atau terapis yang membantu Anda bekerja untuk menyelesaikan perasaan keberanian dan stres,  juga berupaya memaafkannya sehingga Anda dapat memiliki hubungan dengannya di masa depan."
"Saya berusia pertengahan dua puluhan sekarang,  dan pacar saya selama tujuh tahun dan saya ingin memulai hidup.  Ibu saya 100% codependen pada saya dan sangat manipulatif.  Dia menderita diabetes tipe 1,  yang dia gunakan untuk membuat saya bersalah jika saya pernah meninggalkannya.  Masalahnya adalah saya akan merasa bersalah.","Lebih fokus pada kehidupan Anda sendiri dan lebih sedikit pada deskriptor yang sangat berat yang Anda tulis untuk menggambarkan ibu Anda.   Semua kata yang Anda tulis mewakili kondisi psikologis yang seumur hidup atau mengambil banyak motivasi dan upaya untuk berubah.   Karena satu-satunya orang yang dapat berubahBagaimana ibumu menangani hidupnya,  adalah ibumu,  dan kamu adalah satu-satunya yang dapat melakukan hal yang sama untuk dirimu sendiri,  mencurahkan lebih banyak energi dan waktu untuk menjalani hidup sendiri sepenuhnya,  terlepas dari emosi yang Anda rasakan tentang dia."
